DAY,TIME,FLIGHT NUMBER,ORIGIN,AIRLINES,REMARK,Unnamed: 6,AIRLINE LOGO
2025-04-01,01/04,00:10,CZ 323,Guangzhou (can),,ARRIVED  23:51,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,06:05,KR 938,Guangzhou (can),,ARRIVED  05:24,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,06:25,KR 930,Shenzhen (szx),,ARRIVED  05:46,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,07:00,K6 611,Guangzhou (can),,ARRIVED  06:18,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,07:40,9C 7007,Guangzhou (can),,ARRIVED  07:30,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,07:50,9C 8529,Guangzhou (can),,ARRIVED  07:25,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,08:35,PG 9318,Suvarnabhumi (bkk),,ARRIVED  08:23,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,08:40,SQ 1545,Singapore (sin),,ARRIVED  08:55,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,08:50,TG 5861,Suvarnabhumi (bkk),,ARRIVED  08:44,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-01,01/04,08:55,FD 608,Don Mueang (dmk),,ARRIVED  08:40,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-01,01/04,09:15,K6 8131,Ho Chi Minh (sgn),,ARRIVED  09:32,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,09:55,VZ 720,Suvarnabhumi (bkk),,ARRIVED  10:36,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-01,01/04,10:00,MH 7543,Kuala Lumpur (kul),,ARRIVED  09:49,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-01,01/04,10:10,K6 895,Zhengzhou (cgo),,ARRIVED  10:09,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,10:15,CX 607,Hong Kong (hkg),,ARRIVED  10:28,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-01,01/04,10:40,CZ 8313,Guangzhou (can),,ARRIVED  10:43,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,10:50,MF 8727,Fuzhou (foc),,ARRIVED  11:24,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,11:10,ZH 1551,Shenzhen (szx),,ARRIVED  11:34,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZH_small.gif
2025-04-01,01/04,11:15,BR 265,Taipei (tpe),,ARRIVED  12:02,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/BR_0.gif
2025-04-01,01/04,11:20,MF 8645,Xiamen (xmn),,ARRIVED  11:14,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,11:25,ZA 673,Suvarnabhumi (bkk),,ARRIVED  10:59,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,11:30,KT 162,Kuala Lumpur (kul),,ARRIVED  11:05,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-01,01/04,11:35,MU 9609,Kunming (kmg),,ARRIVED  11:19,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-01,01/04,12:45,KR 702,Suvarnabhumi (bkk),,ARRIVED  12:45,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,12:55,K6 8171,Ho Chi Minh (sgn),,ARRIVED  12:53,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,13:00,VN 9211,Hanoi (han),,ARRIVED  12:34,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-01,01/04,13:10,SQ 1563,Singapore (sin),,ARRIVED  12:40,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,14:05,KR 508,Hong Kong (hkg),,ARRIVED  13:53,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,14:20,K6 723,Suvarnabhumi (bkk),,ARRIVED  14:16,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,14:25,PG 93312,Suvarnabhumi (bkk),,ARRIVED  14:08,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,14:30,CZ 6059,Guangzhou (can),,ARRIVED  14:13,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-01,01/04,15:20,K6 669,Guangzhou (can),,ARRIVED  15:02,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,15:55,ZA 675,Suvarnabhumi (bkk),,ARRIVED  15:42,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,16:00,K6 1061,Siem Reap (sai),,ARRIVED  15:27,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,16:15,QR 9706,Doha (doh),,ARRIVED  16:00,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/QR_small.gif
2025-04-01,01/04,16:20,FD 606,Don Mueang (dmk),,ARRIVED  16:47,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-01,01/04,16:35,EK 348,Dubai (dxb),,ARRIVED  16:42,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/EK_small.gif
2025-04-01,01/04,16:45,KT 168,Kuala Lumpur (kul),,ARRIVED  16:22,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif
2025-04-01,01/04,16:55,VN 9201,Ho Chi Minh (sgn),,ARRIVED  17:12,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/VN_0.gif
2025-04-01,01/04,17:00,MF 8951,Xiamen (xmn),,ARRIVED  17:05,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
2025-04-01,01/04,17:25,MH 7622,Kuala Lumpur (kul),,ARRIVED  17:38,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-01,01/04,17:35,KR 704,Suvarnabhumi (bkk),,ARRIVED  17:20,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,17:40,SQ 1583,Singapore (sin),,ARRIVED  17:35,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-01,01/04,17:50,MU 9627,Kunming (kmg),,ARRIVED  17:29,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-01,01/04,18:00,K6 1081,Siem Reap (sai),,ARRIVED  17:17,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,18:15,VZ 722,Suvarnabhumi (bkk),,ARRIVED  17:52,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-01,01/04,18:35,PG 93511,Suvarnabhumi (bkk),,ARRIVED  18:24,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-01,01/04,19:15,KR 782,Kuala Lumpur (kul),,ARRIVED  19:09,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,19:40,K6 8191,Ho Chi Minh (sgn),,ARRIVED  19:29,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,19:55,TG 5841,Suvarnabhumi (bkk),,ARRIVED  19:35,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-01,01/04,20:15,9C 7321,Shanghai (pvg),,ARRIVED  20:17,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,20:55,9C 8533,Shanghai (pvg),,ARRIVED  20:49,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-01,01/04,21:30,ZA 679,Suvarnabhumi (bkk),,ARRIVED  21:04,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,21:40,K6 8511,Hanoi (han),,ARRIVED  21:22,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,22:10,KE 6891,Seoul (icn),,ESTIMATED  23:05,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KE_small.gif
2025-04-01,01/04,22:20,K6 897,Nanning (nng),,ARRIVED  22:05,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-01,01/04,22:30,ZA 388,Macau (mfm),,ARRIVED  22:30,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif
2025-04-01,01/04,22:45,KR 964,Chongqing (ckg),,ESTIMATED  22:50,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,22:55,OZ 7391,Seoul (icn),,ESTIMATED  23:15,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/OZ_0.gif
2025-04-01,01/04,23:05,CA 745,Beijing (pek),,ESTIMATED  23:15,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CA_Small.gif
2025-04-01,01/04,23:10,KR 9756,Singapore (sin),,ARRIVED  22:27,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-01,01/04,23:15,MU 759,Shanghai (pvg),,ESTIMATED  23:30,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif
2025-04-02,02/04,00:10,CZ 323,Guangzhou (can),,ESTIMATED  23:50,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-02,02/04,00:15,2P 26211,Manila (mnl),,ESTIMATED  23:30,
2025-04-02,02/04,06:05,KR 938,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,06:10,K6 7611,New Delhi (del),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,06:50,KR 962,Chengdu (tfu),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif
2025-04-02,02/04,07:00,K6 611,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif
2025-04-02,02/04,07:40,9C 7007,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif
2025-04-02,02/04,08:35,PG 9318,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif
2025-04-02,02/04,08:40,SQ 1545,Singapore (sin),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif
2025-04-02,02/04,08:50,TG 5861,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif
2025-04-02,02/04,08:55,FD 608,Don Mueang (dmk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif
2025-04-02,02/04,09:50,CI 861,Taipei (tpe),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CI_small.gif
2025-04-02,02/04,09:55,VZ 720,Suvarnabhumi (bkk),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png
2025-04-02,02/04,10:00,MH 7543,Kuala Lumpur (kul),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif
2025-04-02,02/04,10:15,CX 607,Hong Kong (hkg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif
2025-04-02,02/04,10:40,CZ 8313,Guangzhou (can),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif
2025-04-02,02/04,10:50,MF 86691,Chongqing (ckg),,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif
