id,day,time,flight_number,destination,airline,remark,unnamed,logo_url,scraped_at
181,2025-04-02,00:00,00:10,"MU 760","Shanghai (pvg)",,"TAKE OFF",https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MU_0.gif,"2025-04-02 02:04:37"
182,2025-04-02,00:00,00:20,"CA 746","Beijing (pek)",,"TAKE OFF",https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CA_Small.gif,"2025-04-02 02:04:37"
183,2025-04-02,00:00,01:15,"2P 26221","Manila (mnl)",,"TAKE OFF",NULL,"2025-04-02 02:04:37"
184,2025-04-02,00:00,07:00,"KT 163","Kuala Lumpur (kul)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif,"2025-04-02 02:04:37"
185,2025-04-02,00:00,07:05,"KR 941","Changsha (csx)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif,"2025-04-02 02:04:37"
186,2025-04-02,00:00,08:00,"CZ 324","Guangzhou (can)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif,"2025-04-02 02:04:37"
187,2025-04-02,00:00,08:05,"ZA 672","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ZA_0.gif,"2025-04-02 02:04:37"
188,2025-04-02,00:00,08:15,"K6 722","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif,"2025-04-02 02:04:37"
189,2025-04-02,00:00,08:20,"K6 668","Guangzhou (can)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif,"2025-04-02 02:04:37"
190,2025-04-02,00:00,08:40,"9C 8534","Shanghai (pvg)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/9C_small.gif,"2025-04-02 02:04:37"
191,2025-04-02,00:00,09:10,"KR 701","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/KR_small.gif,"2025-04-02 02:04:37"
192,2025-04-02,00:00,09:15,"KT 102","Siem Reap (sai)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif,"2025-04-02 02:04:37"
193,2025-04-02,00:00,09:25,"PG 93211","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/PG_small.gif,"2025-04-02 02:04:37"
194,2025-04-02,00:00,09:35,"SQ 1532","Singapore (sin)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/SQ_0.gif,"2025-04-02 02:04:37"
195,2025-04-02,00:00,09:40,"TG 5871","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/TG_small.gif,"2025-04-02 02:04:37"
196,2025-04-02,00:00,09:45,"FD 609","Don Mueang (dmk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/FD_small_0.gif,"2025-04-02 02:04:37"
197,2025-04-02,00:00,10:00,"K6 1051","Siem Reap (sai)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif,"2025-04-02 02:04:37"
198,2025-04-02,00:00,10:50,"CI 862","Taipei (tpe)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CI_small.gif,"2025-04-02 02:04:37"
199,2025-04-02,00:00,11:05,"VZ 721","Suvarnabhumi (bkk)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/vietjet.png,"2025-04-02 02:04:37"
200,2025-04-02,00:00,11:10,"MH 7552","Kuala Lumpur (kul)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MH_small.gif,"2025-04-02 02:04:37"
201,2025-04-02,00:00,11:25,"CX 608","Hong Kong (hkg)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CX_small.gif,"2025-04-02 02:04:37"
202,2025-04-02,00:00,11:50,"MF 86701","Chongqing (ckg)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/MF_0.gif,"2025-04-02 02:04:37"
203,2025-04-02,00:00,11:55,"KT 600","Ho Chi Minh (sgn)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/ak_small.gif,"2025-04-02 02:04:37"
204,2025-04-02,00:00,12:05,"CZ 8314","Guangzhou (can)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/CZ_small_1.gif,"2025-04-02 02:04:37"
205,2025-04-02,00:00,12:10,"K6 830","Phu Quoc  (pqc)",,,https://pnh.cambodia-airports.aero/sites/pnh2017/files/airlines/K6_0.gif,"2025-04-02 02:04:37"
